,Capacity,Revenue
0,100,5816444.439443342
1,200,11633002.39788521
2,300,17449228.966574263
3,400,23266154.73971307
4,500,29082179.666139573
5,600,34898886.45241996
6,700,40659134.70568073
7,800,46184101.898591764
8,900,50861071.01567919
9,1000,54615398.514817104
10,1100,57733016.72435735
11,1200,60148142.714838564
12,1300,62073359.87929124
13,1400,63567122.438547306
14,1500,64703510.27541436
15,1600,65620204.11416136
16,1700,66244400.74428939
17,1800,66751104.09086403
18,1900,67122305.94032016
