,capacity,adjusted_mean_energy
0,50,0.06822202934090661
1,100,0.055006374542584696
2,150,0.058395786137515886
3,200,0.05636853834526991
4,250,0.05182948536788444
5,300,0.05177443121290482
6,350,0.06593778805345361
7,400,0.05000400368620701
8,450,0.10599895027714576
9,500,0.1002617668434864
10,550,0.09609031669715191
11,600,0.09243196401769545
12,650,0.15787354954177463
13,700,0.27576915688558346
14,750,0.20224448705696552
15,800,0.24935841019973434
16,850,0.2999522644207971
17,900,0.40526909047649134
18,950,0.5112115261718245
19,1000,0.7256180753060514
20,1050,0.7009997805988533
21,1100,0.7090125527166974
22,1150,0.7486197583019287
23,1200,0.8516236128705007
24,1250,0.882551930487302
25,1300,0.8980340148714534
26,1350,0.932506323923867
27,1400,0.9570919424334784
28,1450,0.9587938658672349
29,1500,0.9657208834674742
30,1550,0.9888121008502764
31,1600,0.995764113651135
32,1650,1.0065909603945604
33,1700,0.9850669791324838
34,1750,0.9890132151193096
35,1800,0.9893761510869655
36,1850,1.0039234981214709
37,1900,1.0146537208846516
38,1950,0.9955321434171003
39,2000,1.008891007143126
